SYMBOL,TOKEN,EXCHANGE,MARKET CAP,TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
EVEREADY,11782,NSE,Small Cap,2024-07-03 12:30:00,355.60,363.25,353.85,360.90,326526
EVEREADY,11782,NSE,Small Cap,2024-07-02 11:30:00,348.85,357.40,346.55,354.60,217637
EVEREADY,11782,NSE,Small Cap,2024-07-01 10:30:00,349.95,351.00,345.05,348.75,125913
DOLLAR,20560,NSE,Small Cap,2024-12-31 12:15:00,470.95,499.00,468.15,488.40,165666
DOLLAR,20560,NSE,Small Cap,2024-12-30 11:15:00,479.65,481.00,467.00,470.40,35252
DOLLAR,20560,NSE,Small Cap,2024-12-27 14:30:00,482.05,485.00,475.15,480.05,23173
DOLLAR,20560,NSE,Small Cap,2024-12-26 13:30:00,481.50,488.00,480.00,482.55,39452
DOLLAR,20560,NSE,Small Cap,2024-12-24 11:30:00,497.30,497.30,480.75,482.25,52570
DOLLAR,20560,NSE,Small Cap,2024-12-23 10:30:00,496.45,503.95,494.35,497.30,42694
DOLLAR,20560,NSE,Small Cap,2024-12-20 13:45:00,510.60,511.25,493.70,495.00,50258
DOLLAR,20560,NSE,Small Cap,2024-12-19 12:45:00,532.00,534.85,509.00,511.00,58675
DOLLAR,20560,NSE,Small Cap,2024-12-18 11:45:00,528.00,538.00,515.00,532.00,114050
DOLLAR,20560,NSE,Small Cap,2024-12-17 10:45:00,535.70,556.00,527.00,528.00,278088
DOLLAR,20560,NSE,Small Cap,2024-12-16 09:45:00,526.05,546.00,520.50,537.00,127517
DOLLAR,20560,NSE,Small Cap,2024-12-13 13:00:00,520.20,526.95,513.45,525.80,23006
DOLLAR,20560,NSE,Small Cap,2024-12-12 12:00:00,523.55,525.00,510.25,520.20,44003
DOLLAR,20560,NSE,Small Cap,2024-12-11 11:00:00,532.00,545.00,523.10,523.50,58583
DOLLAR,20560,NSE,Small Cap,2024-12-10 10:00:00,539.95,543.70,530.00,532.55,63519
DOLLAR,20560,NSE,Small Cap,2024-12-09 15:15:00,533.00,550.00,530.05,539.90,59917
DOLLAR,20560,NSE,Small Cap,2024-12-06 12:15:00,515.25,541.95,511.10,532.35,95016
DOLLAR,20560,NSE,Small Cap,2024-12-05 11:15:00,524.25,524.25,511.00,515.00,33328
DOLLAR,20560,NSE,Small Cap,2024-12-04 10:15:00,522.90,532.25,518.40,524.25,32971
DOLLAR,20560,NSE,Small Cap,2024-12-03 09:15:00,529.05,532.10,519.10,522.90,25581
DOLLAR,20560,NSE,Small Cap,2024-12-02 14:30:00,528.35,530.00,526.00,530.00,21918
DOLLAR,20560,NSE,Small Cap,2024-11-29 11:30:00,516.80,531.00,510.40,528.35,57275
DOLLAR,20560,NSE,Small Cap,2024-11-28 10:30:00,518.55,518.65,513.00,515.20,20874
DOLLAR,20560,NSE,Small Cap,2024-11-27 09:30:00,515.50,522.50,510.00,518.55,35888
DOLLAR,20560,NSE,Small Cap,2024-11-26 14:45:00,516.80,518.40,512.05,515.90,7606
DOLLAR,20560,NSE,Small Cap,2024-11-25 13:45:00,511.50,519.25,505.35,516.80,37665
DOLLAR,20560,NSE,Small Cap,2024-11-22 10:45:00,499.60,515.75,497.55,511.50,33213
DOLLAR,20560,NSE,Small Cap,2024-11-21 09:45:00,498.35,505.50,492.65,499.60,23499
DOLLAR,20560,NSE,Small Cap,2024-11-19 14:00:00,512.80,513.80,492.45,494.15,29356
DOLLAR,20560,NSE,Small Cap,2024-11-18 13:00:00,504.70,513.25,502.90,513.20,34227
DOLLAR,20560,NSE,Small Cap,2024-11-14 15:15:00,500.95,508.05,487.65,504.70,66400
DOLLAR,20560,NSE,Small Cap,2024-11-13 14:15:00,510.20,511.20,499.45,500.95,38964
DOLLAR,20560,NSE,Small Cap,2024-11-12 13:15:00,530.00,530.00,501.25,510.75,78832
DOLLAR,20560,NSE,Small Cap,2024-11-11 12:15:00,537.25,542.60,525.15,530.10,99904
DOLLAR,20560,NSE,Small Cap,2024-11-08 09:15:00,512.00,560.00,512.00,537.25,774128
DOLLAR,20560,NSE,Small Cap,2024-11-07 14:30:00,512.05,517.20,512.05,513.90,5855
DOLLAR,20560,NSE,Small Cap,2024-11-06 13:30:00,515.00,520.45,502.80,512.05,77024
DOLLAR,20560,NSE,Small Cap,2024-11-05 12:30:00,503.30,522.55,501.15,514.50,54873
